"trialCode","trialNo","stimFile","imgClock"
5,1,"6_d12Clock_a6.tiff",
3,2,"9_d12Clock_a6.tiff",
4,3,"EmptyImageryBox.tiff","9_d12Clock_a6.tiff"
0,4,"fixCross.tiff",
0,5,"fixCross.tiff",
4,6,"EmptyImageryBox.tiff","9_d12Clock_a6.tiff"
3,7,"8_d12Clock_a4.tiff",
3,8,"3_d12Clock_a2.tiff",
3,9,"5_d12Clock_a5.tiff",
0,10,"fixCross.tiff",
4,11,"EmptyImageryBox.tiff","5_d12Clock_a5.tiff"
3,12,"7_d12Clock_a1.tiff",
3,13,"7_d12Clock_a4.tiff",
4,14,"EmptyImageryBox.tiff","7_d12Clock_a4.tiff"
4,15,"EmptyImageryBox.tiff","7_d12Clock_a4.tiff"
3,16,"10_d12Clock_a2.tiff",
0,17,"fixCross.tiff",
4,18,"EmptyImageryBox.tiff","10_d12Clock_a2.tiff"
4,19,"EmptyImageryBox.tiff","10_d12Clock_a2.tiff"
0,20,"fixCross.tiff",
4,21,"EmptyImageryBox.tiff","10_d12Clock_a2.tiff"
0,22,"fixCross.tiff",
0,23,"fixCross.tiff",
3,24,"2_d12Clock_a1.tiff",
0,25,"fixCross.tiff",
4,26,"EmptyImageryBox.tiff","2_d12Clock_a1.tiff"
4,27,"EmptyImageryBox.tiff","2_d12Clock_a1.tiff"
3,28,"3_d12Clock_a1.tiff",
3,29,"4_d12Clock_a6.tiff",
0,30,"fixCross.tiff",
3,31,"3_d12Clock_a5.tiff",
3,32,"2_d12Clock_a4.tiff",
3,33,"4_d12Clock_a4.tiff",
4,34,"EmptyImageryBox.tiff","4_d12Clock_a4.tiff"
4,35,"EmptyImageryBox.tiff","4_d12Clock_a4.tiff"
3,36,"10_d12Clock_a5.tiff",
0,37,"fixCross.tiff",
0,38,"fixCross.tiff",
4,39,"EmptyImageryBox.tiff","10_d12Clock_a5.tiff"
4,40,"EmptyImageryBox.tiff","10_d12Clock_a5.tiff"
4,41,"EmptyImageryBox.tiff","10_d12Clock_a5.tiff"
3,42,"1_d12Clock_a2.tiff",
0,43,"fixCross.tiff",
4,44,"EmptyImageryBox.tiff","1_d12Clock_a2.tiff"
3,45,"5_d12Clock_a3.tiff",
4,46,"EmptyImageryBox.tiff","5_d12Clock_a3.tiff"
4,47,"EmptyImageryBox.tiff","5_d12Clock_a3.tiff"
4,48,"EmptyImageryBox.tiff","5_d12Clock_a3.tiff"
0,49,"fixCross.tiff",
3,50,"4_d12Clock_a1.tiff",
3,51,"9_d12Clock_a4.tiff",
3,52,"6_d12Clock_a3.tiff",
0,53,"fixCross.tiff",
0,54,"fixCross.tiff",
3,55,"2_d12Clock_a2.tiff",
0,56,"fixCross.tiff",
3,57,"8_d12Clock_a5.tiff",
3,58,"4_d12Clock_a3.tiff",
3,59,"9_d12Clock_a1.tiff",
3,60,"2_d12Clock_a6.tiff",
0,61,"fixCross.tiff",
0,62,"fixCross.tiff",
4,63,"EmptyImageryBox.tiff","2_d12Clock_a6.tiff"
3,64,"8_d12Clock_a1.tiff",
3,65,"8_d12Clock_a2.tiff",
0,66,"fixCross.tiff",
0,67,"fixCross.tiff",
0,68,"fixCross.tiff",
0,69,"fixCross.tiff",
0,70,"fixCross.tiff",
