"","ppID","runIdx","trialIdx","trialCode","trialOnset","trialDuration","timestamp","X","Y","bin","interval","gapfill","Xf","Yf","frameTime","frameStep","Xa","Ya","AV","lMax","AVf","fixation","cluster","inROI","roiValid"
"1","pilot",1,5,4,14.04911867,3.014133934,0,991.5,531.0999756,1,NA,1,998.2999878,536.0999756,0,NA,72.7842794220192,56.033411557194,NA,NA,NA,NA,0,1,1
"2","pilot",1,5,4,14.04911867,3.014133934,0.014016309,998.2999878,548,9,0.014016309,1,999.6999819,540.6499939,0.008349613,0.008349613,72.8863505058706,56.5089815247384,0.972800699401079,NA,0.972800699401079,1,1,1,1
"3","pilot",1,5,4,14.04911867,3.014133934,0.030715535,1001.099976,536.0999756,17,0.016699226,1,1001.099976,545.2000122,0.016699226,0.008349613,72.988421589722,56.9845514922828,0.486400349700533,0,0.486400349700533,1,1,1,1
"4","pilot",1,5,4,14.04911867,3.014133934,0.047360665,1007,545.2000122,25,0.01664513,1,1001.099976,545.2000122,0.033344356,0.01664513,72.988421589722,56.9845514922828,0.1385273759537,0,0.1385273759537,1,1,1,1
"5","pilot",1,5,4,14.04911867,3.014133934,0.064005795,1003.700012,547.5999756,34,0.01664513,1,1003,545.2000122,0.049989486,0.01664513,73.1269489656757,56.9845514922828,0.189564007857356,0,0.189564007857356,1,1,1,1
"6","pilot",1,5,4,14.04911867,3.014133934,0.080690873,996,539.5999756,42,0.016685078,1,1003.700012,545.2000122,0.066674564,0.016685078,73.1779855975793,56.9845514922828,0.255984533642537,0,0.255984533642537,1,1,1,1
"7","pilot",1,5,4,14.04911867,3.014133934,0.097465557,1003,559.7999878,50,0.016774684,1,1003.700012,547.5999756,0.083449248,0.016774684,73.1779855975793,57.2353967506955,0.587539201978425,1,0.587539201978425,1,1,1,1
"8","pilot",1,5,4,14.04911867,3.014133934,0.114008319,1003.799988,528.2999878,59,0.016542762,1,1003,539.5999756,0.09999201,0.016542762,73.1269489656757,56.3992331378249,0.156950028321077,0,0.156950028321077,1,1,1,1
"9","pilot",1,5,4,14.04911867,3.014133934,0.130709765,1009.599976,550.7000122,67,0.016701446,1,1003.799988,549.0999756,0.116693456,0.016701446,73.1852746702112,57.3921774281087,0.277959518056983,0,0.277959518056983,1,1,1,1
"10","pilot",1,5,4,14.04911867,3.014133934,0.147695565,1002.200012,535.0999756,75,0.0169858,1,1004.299988,542.0999756,0.133679256,0.0169858,73.2217287823576,56.6605342668469,0.73255076118556,1,0.73255076118556,1,1,1,1
"11","pilot",1,5,4,14.04911867,3.014133934,0.164004741,1004.299988,549.0999756,83,0.016309176,1,1004.299988,542.0999756,0.149988432,0.016309176,73.2217287823576,56.6605342668469,0,0,0,1,1,1,1
"12","pilot",1,5,4,14.04911867,3.014133934,0.180688986,1004.299988,542.0999756,92,0.016684245,1,1004.299988,542.0999756,0.166672677,0.016684245,73.2217287823576,56.6605342668469,0.344922590907174,0,0.344922590907174,1,1,1,1
"13","pilot",1,5,4,14.04911867,3.014133934,0.197351871,1006.900024,534.0999756,100,0.016662885,1,1004.299988,545.4000244,0.183335562,0.016662885,73.2217287823576,57.0054568577541,0.344922590907174,0,0.344922590907174,1,1,1,1
"14","pilot",1,5,4,14.04911867,3.014133934,0.214000884,1004.900024,545.4000244,108,0.016649013,1,1004.299988,545.4000244,0.199984575,0.016649013,73.2217287823576,57.0054568577541,0.0510366319036564,0,0.0510366319036564,1,1,1,1
"15","pilot",1,5,4,14.04911867,3.014133934,0.23068624,1001.299988,545.9000244,117,0.016685356,1,1003.599976,545.4000244,0.216669931,0.016685356,73.170692150454,57.0054568577541,0.218724672878395,1,0.218724672878395,1,1,1,1
